epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.215,0.91226,2.09475,1.06321,0.66667,0.87676,0.77624,0.5594,0.87119,2.24982,1.11845,0.000555127,0.000555127,0.000555127
2,281.117,0.93722,1.45243,1.09766,0.92625,0.92221,0.96315,0.7306,0.87846,1.28137,1.16388,0.0010833,0.0010833,0.0010833
3,425.52,0.91701,1.06419,1.10218,0.96779,0.94231,0.98084,0.72792,0.93587,0.87334,1.15515,0.00158397,0.00158397,0.00158397
4,568.39,0.92078,0.86069,1.10919,0.90847,0.93644,0.95357,0.68655,0.95268,0.82312,1.17719,0.00154323,0.00154323,0.00154323
5,711.675,0.88932,0.77698,1.07928,0.93485,0.96391,0.98988,0.79909,0.7489,0.63637,1.08403,0.00150197,0.00150197,0.00150197
6,854.644,0.8383,0.68204,1.05665,0.97118,0.97027,0.99009,0.79931,0.74537,0.53901,1.05039,0.00146071,0.00146071,0.00146071
7,1001.14,0.83249,0.64245,1.05234,0.98473,0.96463,0.9935,0.79697,0.71102,0.50622,1.05432,0.00141945,0.00141945,0.00141945
8,1142.53,0.81333,0.60561,1.03163,0.97256,0.97485,0.99269,0.81651,0.7174,0.47714,1.02894,0.00137819,0.00137819,0.00137819
9,1285.39,0.79639,0.58958,1.04694,0.98861,0.96421,0.99314,0.82867,0.67281,0.43985,1.02156,0.00133693,0.00133693,0.00133693
10,1427.69,0.77899,0.54865,1.03884,0.98984,0.97135,0.99454,0.8217,0.71602,0.42951,1.03023,0.00129568,0.00129568,0.00129568
11,1571.6,0.79287,0.56122,1.03128,0.97549,0.97628,0.99325,0.83957,0.65594,0.43662,1.00035,0.00125442,0.00125442,0.00125442
12,1714.7,0.74632,0.55324,1.00241,0.98255,0.97874,0.99346,0.82467,0.69645,0.41823,1.01129,0.00121316,0.00121316,0.00121316
13,1857.16,0.71802,0.49382,0.99614,0.99423,0.97293,0.99423,0.84454,0.61162,0.39976,0.9715,0.0011719,0.0011719,0.0011719
14,2000.28,0.71083,0.48015,0.98979,0.98892,0.97939,0.99426,0.84288,0.62234,0.38988,0.98229,0.00113064,0.00113064,0.00113064
15,2142.67,0.72095,0.47824,0.99126,0.98552,0.97333,0.99084,0.82951,0.6631,0.40475,1.02503,0.00108938,0.00108938,0.00108938
16,2285.25,0.70786,0.47175,1.00354,0.99168,0.96853,0.98663,0.85423,0.602,0.42247,0.96562,0.00104813,0.00104813,0.00104813
